EMP ID,NAME,DEPARTMENT,MONTH,ATTENDANCE,STATUS,LEAVE TYPE,KPI SCORE,SATISFACTION
EMP-1321,Employee 321,Administration,August,96%,In Stock,None,91 / 100,5 ★
EMP-1322,Employee 322,HR,March,98%,In Stock,None,95 / 100,5 ★
EMP-1323,Employee 323,Engineering,January,91%,Reserved,None,85 / 100,5 ★
EMP-1324,Employee 324,Procurement,May,97%,In Stock,None,94 / 100,5 ★
EMP-1325,Employee 325,Finance,August,94%,Reserved,None,85 / 100,4 ★
EMP-1326,Employee 326,Finance,September,90%,Reserved,Casual Leave,87 / 100,4 ★
EMP-1327,Employee 327,Legal,May,88%,In Stock,Sick Leave,80 / 100,4 ★
EMP-1328,Employee 328,Marketing,June,81%,Reserved,None,90 / 100,3 ★
EMP-1329,Employee 329,Sales,May,82%,Reserved,Sick Leave,78 / 100,3 ★
EMP-1330,Employee 330,Procurement,September,71%,Reserved,Vacation,72 / 100,4 ★
EMP-1331,Employee 331,Customer Support,March,72%,Reserved,Vacation,76 / 100,2 ★
EMP-1332,Employee 332,Sales,November,97%,In Stock,None,93 / 100,5 ★
EMP-1333,Employee 333,Finance,July,80%,In Stock,None,76 / 100,3 ★
EMP-1334,Employee 334,Administration,October,81%,Reserved,Casual Leave,82 / 100,3 ★
EMP-1335,Employee 335,Sales,May,70%,On Leave,Special Leave,65 / 100,4 ★
EMP-1336,Employee 336,Legal,June,86%,Reserved,Casual Leave,81 / 100,4 ★
EMP-1337,Employee 337,Administration,August,71%,Reserved,Sick Leave,61 / 100,2 ★
EMP-1338,Employee 338,Customer Support,May,81%,Reserved,Sick Leave,77 / 100,3 ★
EMP-1339,Employee 339,Engineering,December,91%,In Stock,Casual Leave,85 / 100,5 ★
EMP-1340,Employee 340,Customer Support,February,96%,In Stock,None,100 / 100,5 ★
EMP-1341,Employee 341,Sales,May,98%,In Stock,None,91 / 100,5 ★
EMP-1342,Employee 342,Procurement,January,97%,In Stock,None,97 / 100,5 ★
EMP-1343,Employee 343,R&D,April,88%,Reserved,Sick Leave,82 / 100,4 ★
EMP-1344,Employee 344,Marketing,December,85%,In Stock,None,78 / 100,5 ★
EMP-1345,Employee 345,Operations,February,73%,Reserved,Special Leave,63 / 100,3 ★
EMP-1346,Employee 346,HR,December,81%,In Stock,Casual Leave,70 / 100,3 ★
EMP-1347,Employee 347,R&D,September,72%,On Leave,Sick Leave,76 / 100,4 ★
EMP-1348,Employee 348,Marketing,July,92%,In Stock,Casual Leave,80 / 100,4 ★
EMP-1349,Employee 349,Finance,February,84%,Reserved,None,71 / 100,5 ★
EMP-1350,Employee 350,Legal,December,77%,Reserved,Vacation,73 / 100,2 ★
EMP-1351,Employee 351,Finance,April,92%,Reserved,None,81 / 100,5 ★
EMP-1352,Employee 352,Sales,October,98%,In Stock,None,96 / 100,5 ★
EMP-1353,Employee 353,Legal,June,85%,Reserved,Casual Leave,75 / 100,3 ★
EMP-1354,Employee 354,HR,September,82%,In Stock,Casual Leave,83 / 100,5 ★
EMP-1355,Employee 355,Operations,June,79%,Reserved,Special Leave,71 / 100,3 ★
EMP-1356,Employee 356,Customer Support,June,72%,Reserved,Vacation,70 / 100,4 ★
EMP-1357,Employee 357,R&D,September,79%,On Leave,Sick Leave,76 / 100,2 ★
EMP-1358,Employee 358,HR,February,84%,Reserved,Sick Leave,84 / 100,3 ★
EMP-1359,Employee 359,Finance,January,84%,In Stock,Casual Leave,85 / 100,5 ★
EMP-1360,Employee 360,R&D,December,86%,Reserved,Sick Leave,86 / 100,5 ★
EMP-1361,Employee 361,Legal,April,70%,Reserved,Sick Leave,63 / 100,4 ★
EMP-1362,Employee 362,Engineering,May,88%,Reserved,None,74 / 100,5 ★
EMP-1363,Employee 363,IT,January,82%,In Stock,Sick Leave,87 / 100,4 ★
EMP-1364,Employee 364,Marketing,February,90%,Reserved,Casual Leave,88 / 100,5 ★
EMP-1365,Employee 365,Finance,February,84%,Reserved,Casual Leave,86 / 100,5 ★
EMP-1366,Employee 366,HR,June,82%,In Stock,Sick Leave,80 / 100,4 ★
EMP-1367,Employee 367,Legal,March,75%,Reserved,Sick Leave,74 / 100,2 ★
EMP-1368,Employee 368,Finance,June,85%,In Stock,None,72 / 100,5 ★
EMP-1369,Employee 369,Sales,August,70%,Reserved,Sick Leave,66 / 100,2 ★
EMP-1370,Employee 370,Customer Support,November,98%,In Stock,None,92 / 100,5 ★
EMP-1371,Employee 371,Engineering,November,96%,In Stock,None,97 / 100,5 ★
EMP-1372,Employee 372,Engineering,January,86%,Reserved,None,79 / 100,4 ★
EMP-1373,Employee 373,Engineering,February,87%,Reserved,Sick Leave,87 / 100,3 ★
EMP-1374,Employee 374,Procurement,February,80%,Reserved,None,85 / 100,3 ★
EMP-1375,Employee 375,Sales,December,77%,Reserved,Vacation,65 / 100,3 ★
EMP-1376,Employee 376,Procurement,July,80%,In Stock,Sick Leave,87 / 100,3 ★
EMP-1377,Employee 377,Legal,February,100%,In Stock,None,95 / 100,5 ★
EMP-1378,Employee 378,HR,December,91%,Reserved,Casual Leave,94 / 100,5 ★
EMP-1379,Employee 379,Marketing,November,83%,Reserved,Sick Leave,89 / 100,3 ★
EMP-1380,Employee 380,HR,March,91%,In Stock,Casual Leave,84 / 100,5 ★
EMP-1381,Employee 381,Finance,February,98%,In Stock,None,98 / 100,5 ★
EMP-1382,Employee 382,Sales,March,84%,Reserved,Casual Leave,86 / 100,5 ★
EMP-1383,Employee 383,Engineering,September,86%,In Stock,Sick Leave,76 / 100,4 ★
EMP-1384,Employee 384,Sales,April,100%,In Stock,None,90 / 100,5 ★
EMP-1385,Employee 385,Finance,October,79%,Reserved,Vacation,80 / 100,3 ★
EMP-1386,Employee 386,Legal,June,83%,In Stock,Sick Leave,84 / 100,5 ★
EMP-1387,Employee 387,Administration,April,97%,In Stock,None,98 / 100,5 ★
EMP-1388,Employee 388,Operations,June,81%,Reserved,Casual Leave,84 / 100,3 ★
EMP-1389,Employee 389,Customer Support,January,84%,Reserved,Sick Leave,90 / 100,3 ★
EMP-1390,Employee 390,Procurement,January,99%,In Stock,None,92 / 100,5 ★
EMP-1391,Employee 391,Engineering,June,98%,In Stock,None,93 / 100,5 ★
EMP-1392,Employee 392,IT,November,72%,Reserved,Sick Leave,69 / 100,4 ★
EMP-1393,Employee 393,Marketing,February,75%,On Leave,Vacation,67 / 100,2 ★
EMP-1394,Employee 394,Engineering,December,90%,Reserved,Casual Leave,81 / 100,4 ★
EMP-1395,Employee 395,Customer Support,May,81%,In Stock,Casual Leave,78 / 100,4 ★
EMP-1396,Employee 396,Sales,February,86%,In Stock,Casual Leave,78 / 100,5 ★
EMP-1397,Employee 397,Marketing,July,88%,Reserved,None,89 / 100,5 ★
EMP-1398,Employee 398,Administration,May,86%,Reserved,None,89 / 100,4 ★
EMP-1399,Employee 399,R&D,June,84%,Reserved,Casual Leave,76 / 100,4 ★
EMP-1400,Employee 400,Finance,January,86%,In Stock,Sick Leave,76 / 100,4 ★
EMP-1401,Employee 401,Legal,June,98%,In Stock,None,98 / 100,5 ★
EMP-1402,Employee 402,Finance,February,81%,Reserved,Sick Leave,80 / 100,4 ★
EMP-1403,Employee 403,Marketing,September,84%,In Stock,Casual Leave,88 / 100,3 ★
EMP-1404,Employee 404,Legal,August,71%,Reserved,Vacation,80 / 100,3 ★
EMP-1405,Employee 405,Operations,April,94%,Reserved,Casual Leave,82 / 100,5 ★
EMP-1406,Employee 406,Marketing,March,92%,In Stock,Casual Leave,95 / 100,4 ★
EMP-1407,Employee 407,HR,October,99%,In Stock,None,96 / 100,5 ★
EMP-1408,Employee 408,Sales,April,76%,Reserved,Special Leave,78 / 100,3 ★
EMP-1409,Employee 409,Finance,February,70%,On Leave,Special Leave,74 / 100,3 ★
EMP-1410,Employee 410,Procurement,December,98%,In Stock,None,94 / 100,5 ★
EMP-1411,Employee 411,Finance,October,84%,Reserved,None,79 / 100,4 ★
EMP-1412,Employee 412,Procurement,May,76%,Reserved,Special Leave,68 / 100,4 ★
EMP-1413,Employee 413,Marketing,May,72%,On Leave,Sick Leave,71 / 100,3 ★
EMP-1414,Employee 414,Engineering,May,79%,On Leave,Special Leave,80 / 100,4 ★
EMP-1415,Employee 415,Operations,July,82%,Reserved,None,82 / 100,5 ★
EMP-1416,Employee 416,Marketing,July,73%,On Leave,Sick Leave,77 / 100,2 ★
EMP-1417,Employee 417,IT,July,88%,Reserved,None,83 / 100,3 ★
EMP-1418,Employee 418,Administration,July,97%,In Stock,None,94 / 100,5 ★
EMP-1419,Employee 419,Administration,October,89%,Reserved,Casual Leave,89 / 100,5 ★
EMP-1420,Employee 420,R&D,June,92%,In Stock,Casual Leave,95 / 100,5 ★
EMP-1421,Employee 421,Marketing,February,94%,Reserved,None,85 / 100,4 ★
EMP-1422,Employee 422,Procurement,April,92%,Reserved,None,92 / 100,4 ★
EMP-1423,Employee 423,Marketing,December,89%,Reserved,Sick Leave,85 / 100,3 ★
EMP-1424,Employee 424,Engineering,January,83%,In Stock,Casual Leave,85 / 100,4 ★
EMP-1425,Employee 425,HR,May,86%,In Stock,Sick Leave,70 / 100,5 ★
EMP-1426,Employee 426,Sales,November,96%,In Stock,None,93 / 100,5 ★
EMP-1427,Employee 427,Finance,November,88%,In Stock,Casual Leave,78 / 100,4 ★
EMP-1428,Employee 428,Finance,February,80%,Reserved,Sick Leave,86 / 100,3 ★
EMP-1429,Employee 429,Customer Support,April,90%,Reserved,Casual Leave,87 / 100,4 ★
EMP-1430,Employee 430,Marketing,May,73%,Reserved,Sick Leave,80 / 100,4 ★
EMP-1431,Employee 431,IT,December,72%,Reserved,Special Leave,72 / 100,4 ★
EMP-1432,Employee 432,Procurement,February,89%,In Stock,Casual Leave,82 / 100,5 ★
EMP-1433,Employee 433,Sales,April,98%,In Stock,None,99 / 100,5 ★
EMP-1434,Employee 434,Administration,June,89%,In Stock,None,81 / 100,5 ★
EMP-1435,Employee 435,Operations,April,89%,In Stock,None,70 / 100,5 ★
EMP-1436,Employee 436,Marketing,May,98%,In Stock,None,96 / 100,5 ★
EMP-1437,Employee 437,Engineering,March,71%,On Leave,Special Leave,75 / 100,4 ★
EMP-1438,Employee 438,Sales,January,99%,In Stock,None,98 / 100,5 ★
EMP-1439,Employee 439,Sales,November,80%,In Stock,None,73 / 100,5 ★
EMP-1440,Employee 440,Sales,June,97%,In Stock,None,94 / 100,5 ★
EMP-1441,Employee 441,IT,May,88%,Reserved,Casual Leave,78 / 100,3 ★
EMP-1442,Employee 442,Finance,April,97%,In Stock,None,95 / 100,5 ★
EMP-1443,Employee 443,Administration,April,94%,In Stock,Casual Leave,95 / 100,4 ★
EMP-1444,Employee 444,Engineering,October,96%,In Stock,None,97 / 100,5 ★
EMP-1445,Employee 445,Engineering,April,73%,Reserved,Sick Leave,76 / 100,3 ★
EMP-1446,Employee 446,Finance,June,90%,Reserved,Casual Leave,92 / 100,5 ★
EMP-1447,Employee 447,R&D,November,76%,Reserved,Special Leave,74 / 100,3 ★
EMP-1448,Employee 448,Customer Support,December,100%,In Stock,None,95 / 100,5 ★
EMP-1449,Employee 449,Legal,August,75%,Reserved,Sick Leave,64 / 100,2 ★
EMP-1450,Employee 450,Administration,January,82%,Reserved,Casual Leave,70 / 100,4 ★
EMP-1451,Employee 451,HR,June,82%,Reserved,Sick Leave,87 / 100,5 ★
EMP-1452,Employee 452,Sales,October,96%,In Stock,None,90 / 100,5 ★
EMP-1453,Employee 453,IT,August,78%,Reserved,Sick Leave,75 / 100,3 ★
EMP-1454,Employee 454,Customer Support,October,80%,Reserved,None,82 / 100,5 ★
EMP-1455,Employee 455,IT,August,97%,In Stock,None,100 / 100,5 ★
EMP-1456,Employee 456,Engineering,September,100%,In Stock,None,99 / 100,5 ★
EMP-1457,Employee 457,R&D,May,80%,Reserved,Sick Leave,89 / 100,4 ★
EMP-1458,Employee 458,HR,August,75%,On Leave,Sick Leave,64 / 100,3 ★
EMP-1459,Employee 459,Operations,January,95%,In Stock,Casual Leave,82 / 100,5 ★
EMP-1460,Employee 460,R&D,October,73%,On Leave,Special Leave,70 / 100,3 ★
EMP-1461,Employee 461,R&D,January,86%,Reserved,None,90 / 100,5 ★
EMP-1462,Employee 462,Operations,April,85%,In Stock,Sick Leave,70 / 100,3 ★
EMP-1463,Employee 463,Marketing,June,81%,In Stock,Sick Leave,79 / 100,4 ★
EMP-1464,Employee 464,IT,August,87%,In Stock,Sick Leave,79 / 100,5 ★
EMP-1465,Employee 465,Finance,March,76%,On Leave,Vacation,69 / 100,2 ★
EMP-1466,Employee 466,IT,July,91%,In Stock,Casual Leave,81 / 100,5 ★
EMP-1467,Employee 467,Finance,December,82%,Reserved,Sick Leave,73 / 100,4 ★
EMP-1468,Employee 468,Legal,June,82%,In Stock,Casual Leave,75 / 100,5 ★
EMP-1469,Employee 469,HR,October,97%,In Stock,None,100 / 100,5 ★
EMP-1470,Employee 470,Administration,April,92%,Reserved,None,88 / 100,4 ★
EMP-1471,Employee 471,Sales,November,97%,In Stock,None,93 / 100,5 ★
EMP-1472,Employee 472,R&D,March,84%,In Stock,None,83 / 100,3 ★
EMP-1473,Employee 473,HR,April,76%,Reserved,Sick Leave,66 / 100,2 ★
EMP-1474,Employee 474,Finance,November,93%,Reserved,None,93 / 100,5 ★
EMP-1475,Employee 475,R&D,July,90%,In Stock,Casual Leave,81 / 100,4 ★
EMP-1476,Employee 476,Finance,August,72%,Reserved,Sick Leave,76 / 100,2 ★
EMP-1477,Employee 477,Legal,September,87%,Reserved,Sick Leave,89 / 100,3 ★
EMP-1478,Employee 478,Operations,June,75%,Reserved,Sick Leave,75 / 100,2 ★
EMP-1479,Employee 479,Sales,August,85%,Reserved,Sick Leave,87 / 100,3 ★
EMP-1480,Employee 480,R&D,September,97%,In Stock,None,91 / 100,5 ★
EMP-1481,Employee 481,Administration,February,79%,Reserved,Special Leave,65 / 100,3 ★
EMP-1482,Employee 482,Sales,March,88%,Reserved,None,70 / 100,3 ★
EMP-1483,Employee 483,R&D,September,100%,In Stock,None,100 / 100,5 ★
EMP-1484,Employee 484,R&D,February,100%,In Stock,None,100 / 100,5 ★
EMP-1485,Employee 485,Finance,August,98%,In Stock,None,94 / 100,5 ★
EMP-1486,Employee 486,Legal,March,80%,Reserved,Casual Leave,71 / 100,4 ★
EMP-1487,Employee 487,Marketing,July,82%,In Stock,Sick Leave,90 / 100,3 ★
EMP-1488,Employee 488,Operations,March,91%,Reserved,None,87 / 100,4 ★
EMP-1489,Employee 489,Customer Support,October,87%,Reserved,None,88 / 100,3 ★
EMP-1490,Employee 490,Customer Support,November,71%,Reserved,Special Leave,77 / 100,3 ★
EMP-1491,Employee 491,Marketing,February,77%,On Leave,Vacation,72 / 100,2 ★
EMP-1492,Employee 492,Sales,June,98%,In Stock,None,98 / 100,5 ★
EMP-1493,Employee 493,IT,February,92%,In Stock,Casual Leave,85 / 100,5 ★
EMP-1494,Employee 494,Customer Support,October,82%,Reserved,None,80 / 100,3 ★
EMP-1495,Employee 495,Finance,December,93%,Reserved,Casual Leave,84 / 100,4 ★
EMP-1496,Employee 496,Procurement,June,97%,In Stock,None,100 / 100,5 ★
EMP-1497,Employee 497,Finance,July,74%,Reserved,Special Leave,74 / 100,3 ★
EMP-1498,Employee 498,Customer Support,October,78%,On Leave,Special Leave,63 / 100,3 ★
EMP-1499,Employee 499,HR,August,97%,In Stock,None,96 / 100,5 ★
EMP-1500,Employee 500,IT,February,74%,On Leave,Sick Leave,66 / 100,2 ★
EMP-1501,Employee 501,HR,March,93%,In Stock,Casual Leave,85 / 100,5 ★
EMP-1502,Employee 502,Operations,December,95%,In Stock,None,80 / 100,5 ★
EMP-1503,Employee 503,Operations,December,81%,In Stock,Sick Leave,90 / 100,3 ★
EMP-1504,Employee 504,Finance,November,96%,In Stock,None,91 / 100,5 ★
EMP-1505,Employee 505,Finance,September,92%,Reserved,Casual Leave,86 / 100,5 ★
EMP-1506,Employee 506,Procurement,October,94%,Reserved,None,84 / 100,4 ★
EMP-1507,Employee 507,Operations,November,79%,On Leave,Sick Leave,68 / 100,4 ★
EMP-1508,Employee 508,Operations,December,86%,Reserved,Sick Leave,70 / 100,4 ★
EMP-1509,Employee 509,Finance,February,76%,Reserved,Sick Leave,63 / 100,2 ★
EMP-1510,Employee 510,Marketing,September,73%,On Leave,Special Leave,72 / 100,2 ★
EMP-1511,Employee 511,Marketing,December,95%,In Stock,None,92 / 100,4 ★
EMP-1512,Employee 512,Marketing,December,98%,In Stock,None,96 / 100,5 ★
EMP-1513,Employee 513,IT,November,95%,In Stock,Casual Leave,95 / 100,5 ★
EMP-1514,Employee 514,HR,November,83%,In Stock,Sick Leave,76 / 100,3 ★
EMP-1515,Employee 515,Sales,November,99%,In Stock,None,95 / 100,5 ★
EMP-1516,Employee 516,Sales,August,99%,In Stock,None,99 / 100,5 ★
EMP-1517,Employee 517,R&D,March,90%,Reserved,None,87 / 100,4 ★
EMP-1518,Employee 518,Customer Support,May,78%,Reserved,Special Leave,75 / 100,4 ★
EMP-1519,Employee 519,Procurement,May,79%,Reserved,Vacation,62 / 100,3 ★
EMP-1520,Employee 520,Engineering,November,83%,Reserved,None,74 / 100,3 ★
EMP-1521,Employee 521,Sales,January,82%,Reserved,Casual Leave,89 / 100,5 ★
EMP-1522,Employee 522,Finance,September,73%,On Leave,Sick Leave,65 / 100,2 ★
EMP-1523,Employee 523,Administration,January,85%,In Stock,None,87 / 100,5 ★
EMP-1524,Employee 524,Finance,November,96%,In Stock,None,96 / 100,5 ★
EMP-1525,Employee 525,Customer Support,May,71%,Reserved,Sick Leave,63 / 100,2 ★
EMP-1526,Employee 526,Procurement,July,80%,In Stock,Casual Leave,73 / 100,4 ★
EMP-1527,Employee 527,IT,June,91%,In Stock,None,91 / 100,4 ★
EMP-1528,Employee 528,Engineering,July,82%,Reserved,Sick Leave,85 / 100,3 ★
EMP-1529,Employee 529,Finance,October,82%,In Stock,Sick Leave,82 / 100,4 ★
EMP-1530,Employee 530,Operations,July,77%,On Leave,Vacation,80 / 100,3 ★
EMP-1531,Employee 531,Marketing,February,80%,In Stock,None,86 / 100,5 ★
EMP-1532,Employee 532,Customer Support,October,82%,Reserved,Casual Leave,85 / 100,4 ★
EMP-1533,Employee 533,Operations,December,99%,In Stock,None,100 / 100,5 ★
EMP-1534,Employee 534,IT,April,71%,On Leave,Sick Leave,61 / 100,3 ★
EMP-1535,Employee 535,Marketing,September,86%,Reserved,None,84 / 100,4 ★
EMP-1536,Employee 536,HR,August,78%,On Leave,Special Leave,67 / 100,2 ★
EMP-1537,Employee 537,Finance,November,87%,Reserved,Sick Leave,82 / 100,3 ★
EMP-1538,Employee 538,Marketing,April,88%,In Stock,Casual Leave,88 / 100,5 ★
EMP-1539,Employee 539,Procurement,February,87%,In Stock,Sick Leave,78 / 100,4 ★
EMP-1540,Employee 540,Customer Support,November,75%,On Leave,Sick Leave,78 / 100,4 ★
EMP-1541,Employee 541,Marketing,December,70%,Reserved,Sick Leave,73 / 100,2 ★
EMP-1542,Employee 542,Administration,December,94%,Reserved,None,83 / 100,4 ★
EMP-1543,Employee 543,R&D,August,96%,In Stock,None,92 / 100,5 ★
EMP-1544,Employee 544,HR,March,100%,In Stock,None,100 / 100,5 ★
EMP-1545,Employee 545,Sales,July,97%,In Stock,None,99 / 100,5 ★
EMP-1546,Employee 546,IT,December,94%,Reserved,Casual Leave,89 / 100,5 ★
EMP-1547,Employee 547,Finance,October,83%,Reserved,Casual Leave,82 / 100,4 ★
EMP-1548,Employee 548,Engineering,December,85%,In Stock,Casual Leave,75 / 100,4 ★
EMP-1549,Employee 549,IT,July,95%,In Stock,Casual Leave,83 / 100,5 ★
EMP-1550,Employee 550,Engineering,February,87%,Reserved,Casual Leave,75 / 100,5 ★
EMP-1551,Employee 551,Administration,May,80%,In Stock,Casual Leave,78 / 100,4 ★
EMP-1552,Employee 552,Procurement,August,72%,On Leave,Sick Leave,66 / 100,2 ★
EMP-1553,Employee 553,Sales,April,75%,Reserved,Special Leave,63 / 100,2 ★
EMP-1554,Employee 554,Engineering,June,70%,Reserved,Special Leave,61 / 100,4 ★
EMP-1555,Employee 555,IT,August,82%,In Stock,None,76 / 100,5 ★
EMP-1556,Employee 556,Marketing,July,95%,Reserved,Casual Leave,92 / 100,5 ★
EMP-1557,Employee 557,Marketing,July,92%,In Stock,None,94 / 100,4 ★
EMP-1558,Employee 558,Marketing,April,78%,On Leave,Sick Leave,65 / 100,3 ★
EMP-1559,Employee 559,Administration,September,90%,Reserved,Casual Leave,84 / 100,4 ★
EMP-1560,Employee 560,Operations,February,82%,Reserved,Sick Leave,76 / 100,3 ★
EMP-1561,Employee 561,Legal,July,96%,In Stock,None,99 / 100,5 ★
EMP-1562,Employee 562,Sales,October,86%,In Stock,Casual Leave,84 / 100,3 ★
EMP-1563,Employee 563,Operations,February,99%,In Stock,None,99 / 100,5 ★
EMP-1564,Employee 564,Procurement,March,88%,In Stock,None,83 / 100,3 ★
EMP-1565,Employee 565,HR,April,99%,In Stock,None,95 / 100,5 ★
EMP-1566,Employee 566,Operations,March,71%,Reserved,Sick Leave,61 / 100,2 ★
EMP-1567,Employee 567,IT,February,93%,Reserved,Casual Leave,92 / 100,4 ★
EMP-1568,Employee 568,Sales,February,77%,Reserved,Special Leave,71 / 100,3 ★
EMP-1569,Employee 569,Engineering,October,89%,Reserved,None,85 / 100,5 ★
EMP-1570,Employee 570,Engineering,December,81%,In Stock,Casual Leave,83 / 100,4 ★
EMP-1571,Employee 571,Engineering,August,80%,Reserved,None,81 / 100,5 ★
EMP-1572,Employee 572,HR,December,70%,Reserved,Special Leave,72 / 100,3 ★
EMP-1573,Employee 573,R&D,August,81%,In Stock,Sick Leave,71 / 100,3 ★
EMP-1574,Employee 574,Operations,May,78%,Reserved,Special Leave,65 / 100,4 ★
EMP-1575,Employee 575,Procurement,December,85%,In Stock,None,81 / 100,4 ★
EMP-1576,Employee 576,Administration,December,91%,In Stock,None,85 / 100,4 ★
EMP-1577,Employee 577,Administration,May,88%,Reserved,Casual Leave,84 / 100,4 ★
EMP-1578,Employee 578,Engineering,December,97%,In Stock,None,97 / 100,5 ★
EMP-1579,Employee 579,Legal,May,71%,On Leave,Special Leave,62 / 100,3 ★
EMP-1580,Employee 580,Operations,November,98%,In Stock,None,96 / 100,5 ★
EMP-1581,Employee 581,Legal,August,91%,In Stock,None,86 / 100,5 ★
EMP-1582,Employee 582,Administration,July,88%,In Stock,Sick Leave,79 / 100,5 ★
EMP-1583,Employee 583,Customer Support,May,100%,In Stock,None,92 / 100,5 ★
EMP-1584,Employee 584,Operations,April,83%,Reserved,Casual Leave,78 / 100,5 ★
EMP-1585,Employee 585,Engineering,January,85%,In Stock,Sick Leave,88 / 100,5 ★
EMP-1586,Employee 586,HR,October,72%,Reserved,Sick Leave,70 / 100,3 ★
EMP-1587,Employee 587,Administration,December,92%,Reserved,None,88 / 100,4 ★
EMP-1588,Employee 588,Legal,August,98%,In Stock,None,92 / 100,5 ★
EMP-1589,Employee 589,Procurement,April,84%,Reserved,Sick Leave,72 / 100,3 ★
EMP-1590,Employee 590,Administration,June,83%,Reserved,Casual Leave,70 / 100,5 ★
EMP-1591,Employee 591,Operations,August,89%,Reserved,Casual Leave,90 / 100,3 ★
EMP-1592,Employee 592,Customer Support,January,86%,In Stock,None,88 / 100,4 ★
EMP-1593,Employee 593,Legal,December,95%,In Stock,None,93 / 100,5 ★
EMP-1594,Employee 594,Finance,August,94%,In Stock,Casual Leave,82 / 100,4 ★
EMP-1595,Employee 595,Procurement,March,93%,In Stock,Casual Leave,89 / 100,5 ★
EMP-1596,Employee 596,Operations,February,75%,On Leave,Vacation,61 / 100,2 ★
EMP-1597,Employee 597,Engineering,October,82%,In Stock,Casual Leave,78 / 100,4 ★
EMP-1598,Employee 598,Legal,October,90%,Reserved,None,83 / 100,5 ★
EMP-1599,Employee 599,Legal,November,71%,Reserved,Sick Leave,78 / 100,3 ★
EMP-1600,Employee 600,Administration,February,99%,In Stock,None,93 / 100,5 ★
EMP-1601,Employee 601,Sales,March,95%,In Stock,None,81 / 100,4 ★
EMP-1602,Employee 602,Legal,August,97%,In Stock,None,90 / 100,5 ★
EMP-1603,Employee 603,Engineering,June,87%,In Stock,Sick Leave,72 / 100,4 ★
EMP-1604,Employee 604,HR,February,96%,In Stock,None,91 / 100,5 ★
EMP-1605,Employee 605,HR,April,97%,In Stock,None,94 / 100,5 ★
EMP-1606,Employee 606,Marketing,October,78%,Reserved,Vacation,63 / 100,3 ★
EMP-1607,Employee 607,Administration,August,82%,In Stock,Casual Leave,73 / 100,3 ★
EMP-1608,Employee 608,HR,August,85%,In Stock,Sick Leave,79 / 100,4 ★
EMP-1609,Employee 609,Operations,November,91%,Reserved,Casual Leave,81 / 100,4 ★
EMP-1610,Employee 610,Legal,February,76%,On Leave,Special Leave,60 / 100,2 ★
EMP-1611,Employee 611,Procurement,December,98%,In Stock,None,91 / 100,5 ★
EMP-1612,Employee 612,Procurement,November,93%,Reserved,Casual Leave,90 / 100,4 ★
EMP-1613,Employee 613,Sales,May,92%,In Stock,Casual Leave,82 / 100,4 ★
EMP-1614,Employee 614,Customer Support,June,94%,Reserved,Casual Leave,82 / 100,5 ★
EMP-1615,Employee 615,IT,April,92%,Reserved,Casual Leave,92 / 100,5 ★
EMP-1616,Employee 616,R&D,February,95%,Reserved,None,94 / 100,4 ★
EMP-1617,Employee 617,Finance,December,72%,Reserved,Special Leave,76 / 100,4 ★
EMP-1618,Employee 618,Legal,April,91%,Reserved,Casual Leave,85 / 100,4 ★
EMP-1619,Employee 619,Customer Support,May,87%,Reserved,Sick Leave,83 / 100,5 ★
EMP-1620,Employee 620,Customer Support,June,95%,In Stock,Casual Leave,85 / 100,5 ★
EMP-1621,Employee 621,Legal,May,77%,Reserved,Vacation,67 / 100,3 ★
EMP-1622,Employee 622,Customer Support,January,91%,Reserved,Casual Leave,95 / 100,5 ★
EMP-1623,Employee 623,R&D,May,92%,Reserved,Casual Leave,85 / 100,4 ★
EMP-1624,Employee 624,Administration,May,74%,Reserved,Vacation,64 / 100,3 ★
EMP-1625,Employee 625,HR,February,100%,In Stock,None,91 / 100,5 ★
EMP-1626,Employee 626,Marketing,October,70%,Reserved,Special Leave,66 / 100,4 ★
EMP-1627,Employee 627,Administration,June,82%,In Stock,None,77 / 100,5 ★
EMP-1628,Employee 628,Marketing,April,74%,On Leave,Special Leave,60 / 100,4 ★
EMP-1629,Employee 629,Operations,May,70%,On Leave,Sick Leave,77 / 100,3 ★
EMP-1630,Employee 630,Administration,September,97%,In Stock,None,94 / 100,5 ★
EMP-1631,Employee 631,R&D,July,80%,Reserved,Casual Leave,85 / 100,3 ★
EMP-1632,Employee 632,HR,August,85%,In Stock,Casual Leave,80 / 100,4 ★
EMP-1633,Employee 633,Customer Support,January,92%,Reserved,None,81 / 100,5 ★
EMP-1634,Employee 634,Finance,January,88%,Reserved,None,84 / 100,3 ★
EMP-1635,Employee 635,Procurement,August,95%,In Stock,None,82 / 100,4 ★
EMP-1636,Employee 636,HR,April,72%,On Leave,Vacation,74 / 100,4 ★
EMP-1637,Employee 637,Marketing,June,78%,Reserved,Special Leave,69 / 100,3 ★
EMP-1638,Employee 638,Procurement,August,84%,Reserved,Sick Leave,71 / 100,4 ★
EMP-1639,Employee 639,Sales,November,93%,Reserved,Casual Leave,86 / 100,4 ★
EMP-1640,Employee 640,Operations,February,89%,In Stock,Casual Leave,74 / 100,3 ★
EMP-1641,Employee 641,R&D,December,80%,In Stock,Sick Leave,77 / 100,4 ★
EMP-1642,Employee 642,IT,July,100%,In Stock,None,96 / 100,5 ★
